job_id,job_type,priority,n_tasks,deadline_min,scheduling_time_s,energy_wh,carbon_gco2,carbon_saved_pct,sla_compliance,total_cost_usd,avg_utilization,status
JOB-0024,model_serving,HIGH,4,45,0.0,1.8556,0.7051,0.0,100.0,0.0162,42.0,SUCCESS
JOB-0025,hyperparameter_tuning,HIGH,4,85,0.0,32.1444,12.2149,0.0,100.0,0.2813,42.0,SUCCESS
JOB-0026,model_training,CRITICAL,5,24,0.0,23.1889,8.8118,0.0,100.0,0.2029,42.0,SUCCESS
JOB-0027,data_preprocessing,NORMAL,4,169,0.0,7.2,2.736,0.0,100.0,0.063,42.0,SUCCESS
JOB-0028,llm_inference,CRITICAL,3,15,0.0,2.7778,1.0556,0.0,100.0,0.0243,42.0,SUCCESS
JOB-0029,model_serving,HIGH,4,54,0.0,1.7889,0.6798,0.0,100.0,0.0157,42.0,SUCCESS
JOB-0030,model_serving,NORMAL,4,151,0.0,1.9333,0.7347,0.0,100.0,0.0169,42.0,SUCCESS
JOB-0031,batch_prediction,NORMAL,4,100,0.0,6.8556,2.6051,0.0,100.0,0.06,42.0,SUCCESS
JOB-0032,model_serving,HIGH,4,34,0.0,1.5556,0.5911,0.0,100.0,0.0136,42.0,SUCCESS
JOB-0033,batch_prediction,BACKGROUND,4,437,0.0,6.2667,2.3813,0.0,100.0,0.0548,42.0,SUCCESS
JOB-0034,feature_engineering,NORMAL,3,110,0.0,6.4556,2.4531,0.0,100.0,0.0565,42.0,SUCCESS
JOB-0035,model_validation,BACKGROUND,4,408,0.0,5.3556,2.0351,0.0,100.0,0.0469,42.0,SUCCESS
JOB-0036,model_training,HIGH,5,48,0.0,18.6556,7.0891,0.0,100.0,0.1632,42.0,SUCCESS
JOB-0037,model_validation,CRITICAL,4,14,0.0,5.6667,2.1533,0.0,100.0,0.0496,42.0,SUCCESS
JOB-0038,model_training,HIGH,5,46,0.0,22.5111,8.5542,0.0,100.0,0.197,42.0,SUCCESS
JOB-0039,model_validation,CRITICAL,4,14,0.0,4.6778,1.7776,0.0,100.0,0.0409,42.0,SUCCESS
JOB-0040,model_validation,HIGH,4,34,0.0,5.3444,2.0309,0.0,100.0,0.0468,42.0,SUCCESS
